,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__n_neighbors,param_gbc__learning_rate,param_gbc__max_depth,param_gbc__min_samples_leaf,param_gbc__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.04125823974609375,0.0018709842881409846,0.003999519348144531,7.599533772711385e-07,5,0.01,2,5,50,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 2, 'gbc__min_samples_leaf': 5, 'gbc__n_estimators': 50}",0.7597765363128491,0.7808988764044944,0.8314606741573034,0.7808988764044944,0.8089887640449438,0.7924047454648171,0.025019054004617004,536
1,0.07362208366394044,0.001345466818596455,0.0039999961853027345,0.0006324852152255101,5,0.01,2,5,100,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 2, 'gbc__min_samples_leaf': 5, 'gbc__n_estimators': 100}",0.7932960893854749,0.8033707865168539,0.8314606741573034,0.8146067415730337,0.8539325842696629,0.8193333751804659,0.02144417032083171,494
2,0.12782902717590333,0.009482049160888278,0.003802061080932617,0.000748530550766116,5,0.01,2,5,200,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 2, 'gbc__min_samples_leaf': 5, 'gbc__n_estimators': 200}",0.8491620111731844,0.8258426966292135,0.8258426966292135,0.8146067415730337,0.8370786516853933,0.8305065595380077,0.011726258710172697,428
3,0.038808155059814456,0.003093330820290242,0.003400230407714844,0.0004896682916828235,5,0.01,2,10,50,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 2, 'gbc__min_samples_leaf': 10, 'gbc__n_estimators': 50}",0.7597765363128491,0.7808988764044944,0.8314606741573034,0.7808988764044944,0.8089887640449438,0.7924047454648171,0.025019054004617004,536
4,0.07207698822021484,0.00464542154158518,0.003989410400390625,0.0006164817262840817,5,0.01,2,10,100,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 2, 'gbc__min_samples_leaf': 10, 'gbc__n_estimators': 100}",0.7932960893854749,0.8033707865168539,0.8314606741573034,0.8146067415730337,0.8539325842696629,0.8193333751804659,0.02144417032083171,494
5,0.14273958206176757,0.003117572000957336,0.0038011550903320314,0.00039758702266923235,5,0.01,2,10,200,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 2, 'gbc__min_samples_leaf': 10, 'gbc__n_estimators': 200}",0.8491620111731844,0.8258426966292135,0.8258426966292135,0.8146067415730337,0.8370786516853933,0.8305065595380077,0.011726258710172697,428
6,0.03977785110473633,0.0034256080761905696,0.003600406646728516,0.0004903116285173851,5,0.01,2,20,50,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 2, 'gbc__min_samples_leaf': 20, 'gbc__n_estimators': 50}",0.7597765363128491,0.7808988764044944,0.8370786516853933,0.7808988764044944,0.7921348314606742,0.7901575544535812,0.025690276337558996,538
7,0.07679805755615235,0.0026722291107696876,0.004201078414916992,0.0004041687786237914,5,0.01,2,20,100,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 2, 'gbc__min_samples_leaf': 20, 'gbc__n_estimators': 100}",0.7932960893854749,0.8033707865168539,0.8314606741573034,0.8146067415730337,0.8089887640449438,0.810344611135522,0.012689984384647659,523
8,0.138051176071167,0.006187527938651677,0.0037995338439941405,0.0007477166783894194,5,0.01,2,20,200,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 2, 'gbc__min_samples_leaf': 20, 'gbc__n_estimators': 200}",0.8491620111731844,0.8258426966292135,0.8258426966292135,0.8146067415730337,0.8314606741573034,0.8293829640323898,0.011304258683357405,442
9,0.05214824676513672,0.0038709534585962455,0.0036719322204589845,0.0005609299685855596,5,0.01,3,5,50,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 3, 'gbc__min_samples_leaf': 5, 'gbc__n_estimators': 50}",0.7821229050279329,0.797752808988764,0.8258426966292135,0.8033707865168539,0.848314606741573,0.8114807607808675,0.023147826882661714,520
10,0.0947941780090332,0.0038871486403576835,0.003801870346069336,0.00039651409301355713,5,0.01,3,5,100,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 3, 'gbc__min_samples_leaf': 5, 'gbc__n_estimators': 100}",0.8324022346368715,0.8370786516853933,0.8258426966292135,0.8089887640449438,0.8539325842696629,0.831648986253217,0.014654733434065108,405
11,0.17593626976013182,0.011485546389923341,0.0046021461486816405,0.000489563659552,5,0.01,3,5,200,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 3, 'gbc__min_samples_leaf': 5, 'gbc__n_estimators': 200}",0.8491620111731844,0.848314606741573,0.8314606741573034,0.8146067415730337,0.8370786516853933,0.8361245370660976,0.012682673256108142,339
12,0.04588932991027832,0.0029513096351365146,0.0033997535705566407,0.0004898624643296147,5,0.01,3,10,50,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 3, 'gbc__min_samples_leaf': 10, 'gbc__n_estimators': 50}",0.7821229050279329,0.797752808988764,0.8202247191011236,0.8033707865168539,0.8202247191011236,0.8047391877471597,0.01443455310529605,526
