,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__n_neighbors,param_logreg__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.007199287414550781,0.0009799103028658494,0.0032002925872802734,0.0003998283125774007,1,0.1,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(0.1)}",0.8156424581005587,0.8089887640449438,0.797752808988764,0.7752808988764045,0.7921348314606742,0.7979599522942691,0.014018702545004926,436
1,0.007386684417724609,0.0005189573040658754,0.003292369842529297,0.00039489779327701397,1,0.2,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(0.2)}",0.8268156424581006,0.8089887640449438,0.797752808988764,0.7752808988764045,0.8089887640449438,0.8035653756826313,0.016930438550492786,421
2,0.007435226440429687,0.000465651288077762,0.003201150894165039,0.000399403728037575,1,0.30000000000000004,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(0.30000000000000004)}",0.8324022346368715,0.8146067415730337,0.8033707865168539,0.7865168539325843,0.8146067415730337,0.8103006716464755,0.015094746476841628,406
3,0.007399892807006836,0.000487185287605667,0.0030001163482666015,3.8738433859996607e-07,1,0.4,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(0.4)}",0.8324022346368715,0.8146067415730337,0.8146067415730337,0.8033707865168539,0.8258426966292135,0.8181658401858012,0.010058200940099212,374
4,0.007800102233886719,0.00040018559567517087,0.0035999298095703127,0.0004898235616868641,1,0.5,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(0.5)}",0.8379888268156425,0.8146067415730337,0.8202247191011236,0.8033707865168539,0.8258426966292135,0.8204067541271733,0.011511526620799154,331
5,0.008603096008300781,0.00048611135970164635,0.003600025177001953,0.0004898040697486511,1,0.6,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(0.6)}",0.8324022346368715,0.8146067415730337,0.8202247191011236,0.8033707865168539,0.8258426966292135,0.8192894356914191,0.009910565028376471,355
6,0.008800077438354491,0.0003998518381055636,0.0035997867584228516,0.000489998745425609,1,0.7000000000000001,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(0.7000000000000001)}",0.8268156424581006,0.8146067415730337,0.8202247191011236,0.8033707865168539,0.8314606741573034,0.819295712761283,0.009808041679009612,348
7,0.008999252319335937,6.325959759436417e-07,0.003401041030883789,0.0004901748916921202,1,0.8,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(0.8)}",0.8324022346368715,0.8146067415730337,0.8146067415730337,0.8033707865168539,0.8426966292134831,0.8215366267026551,0.014084399224062901,248
8,0.008440589904785157,0.0004577037801901861,0.0034027099609375,0.0004919400726041727,1,0.9,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(0.9)}",0.8268156424581006,0.8146067415730337,0.8089887640449438,0.8033707865168539,0.848314606741573,0.8204193082669011,0.015963434058617526,298
9,0.008556604385375977,0.0004633629846353011,0.003507184982299805,0.0004418545704563723,1,1.0,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(1.0)}",0.8324022346368715,0.8146067415730337,0.8033707865168539,0.8033707865168539,0.848314606741573,0.8204130311970372,0.017531846016124227,311
10,0.008399343490600586,0.0008003239977119492,0.003200244903564453,0.000747959224352105,1,1.1,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(1.1)}",0.8324022346368715,0.8146067415730337,0.8033707865168539,0.797752808988764,0.848314606741573,0.8192894356914191,0.018727324187685288,355
11,0.0067997932434082035,0.000399757124780261,0.0022008419036865234,0.000401378028428752,1,1.2000000000000002,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(1.2000000000000002)}",0.8324022346368715,0.8202247191011236,0.8033707865168539,0.797752808988764,0.848314606741573,0.8204130311970372,0.018580625138580206,311
12,0.007002878189086914,6.064273927370725e-06,0.0030465126037597656,9.274550145941217e-05,1,1.3000000000000003,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(1.3000000000000003)}",0.8268156424581006,0.8202247191011236,0.8033707865168539,0.797752808988764,0.848314606741573,0.819295712761283,0.017984485436655533,348
13,0.008003520965576171,0.0006389106616159196,0.0034003257751464844,0.000489590308479386,1,1.4000000000000001,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(1.4000000000000001)}",0.8212290502793296,0.8202247191011236,0.8033707865168539,0.797752808988764,0.848314606741573,0.8181783943255289,0.017653073562332432,365
14,0.007856321334838868,0.00044089430664703003,0.0034010887145996095,0.0004890685932732872,1,1.5000000000000002,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(1.5000000000000002)}",0.8156424581005587,0.8202247191011236,0.8033707865168539,0.797752808988764,0.8426966292134831,0.8159374803841567,0.015640483167389935,387
15,0.008199930191040039,0.00040006648940038147,0.0034006595611572265,0.000490583722545988,1,1.6,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(1.6)}",0.8156424581005587,0.8202247191011236,0.797752808988764,0.797752808988764,0.8426966292134831,0.8148138848785387,0.016670763109406368,394
16,0.008799409866333008,0.0003993991737491529,0.004000234603881836,6.641573084442195e-07,1,1.7000000000000002,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(1.7000000000000002)}",0.8156424581005587,0.8202247191011236,0.797752808988764,0.797752808988764,0.8426966292134831,0.8148138848785387,0.016670763109406368,394
17,0.008399724960327148,0.0004900770069635432,0.003600597381591797,0.000490076844579268,1,1.8000000000000003,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(1.8000000000000003)}",0.8156424581005587,0.8202247191011236,0.797752808988764,0.7921348314606742,0.8426966292134831,0.8136902893729208,0.017924946484506987,402
