mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__n_neighbors,param_random_forest__max_depth,param_random_forest__max_features,param_random_forest__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.10612120628356933,0.0071286617146251174,0.0056095123291015625,0.0004986352305408178,1,4,,7,"{'KNN__n_neighbors': 1, 'random_forest__max_depth': 4, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 7}",0.8324022346368715,0.8089887640449438,0.8595505617977528,0.8033707865168539,0.8595505617977528,0.832772581758835,0.023934883059748148,62
0.09863839149475098,0.008700398241556115,0.004824972152709961,0.0007559387253083325,1,4,,9,"{'KNN__n_neighbors': 1, 'random_forest__max_depth': 4, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 9}",0.8324022346368715,0.8089887640449438,0.8595505617977528,0.8033707865168539,0.8651685393258427,0.8338961772644529,0.025260715163417498,58
0.10409235954284668,0.010019406745531445,0.006000518798828125,0.0006321086174232217,1,4,,11,"{'KNN__n_neighbors': 1, 'random_forest__max_depth': 4, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 11}",0.8324022346368715,0.8089887640449438,0.8539325842696629,0.8202247191011236,0.8651685393258427,0.8361433682756889,0.02080234969202146,45
0.10521349906921387,0.01217367965528643,0.005599355697631836,0.0007999422439916868,1,4,,13,"{'KNN__n_neighbors': 1, 'random_forest__max_depth': 4, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 13}",0.8324022346368715,0.8089887640449438,0.8426966292134831,0.8258426966292135,0.8595505617977528,0.8338961772644531,0.016870477459121683,57
0.10472631454467773,0.009378309477685358,0.00540003776550293,0.0004898041161700017,1,6,,7,"{'KNN__n_neighbors': 1, 'random_forest__max_depth': 6, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 7}",0.8268156424581006,0.8033707865168539,0.8876404494382022,0.8146067415730337,0.8707865168539326,0.8406440273680247,0.03278930412235911,27
0.11277236938476562,0.011005663275293858,0.006601810455322266,0.00048823493778868063,1,6,,9,"{'KNN__n_neighbors': 1, 'random_forest__max_depth': 6, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 9}",0.8212290502793296,0.8033707865168539,0.8876404494382022,0.8258426966292135,0.8764044943820225,0.8428974954491244,0.033007269826625885,15
0.1113121509552002,0.011144471975202425,0.006202840805053711,0.0007495703676927917,1,6,,11,"{'KNN__n_neighbors': 1, 'random_forest__max_depth': 6, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 11}",0.8268156424581006,0.8033707865168539,0.8651685393258427,0.8370786516853933,0.8651685393258427,0.8395204318624065,0.02362126861860639,33
0.10416526794433593,0.009855206072501305,0.005427312850952148,0.00047046288040549297,1,6,,13,"{'KNN__n_neighbors': 1, 'random_forest__max_depth': 6, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 13}",0.8268156424581006,0.8089887640449438,0.8539325842696629,0.8314606741573034,0.8595505617977528,0.8361496453455526,0.018496806974796734,42
0.11445455551147461,0.007560625463212239,0.006001520156860352,0.0006292480414929137,1,8,,7,"{'KNN__n_neighbors': 1, 'random_forest__max_depth': 8, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 7}",0.8268156424581006,0.8033707865168539,0.8876404494382022,0.8202247191011236,0.8539325842696629,0.8383968363567886,0.02952106691021374,35
0.11115169525146484,0.007207094387248283,0.005596971511840821,0.0004915217119041001,1,8,,9,"{'KNN__n_neighbors': 1, 'random_forest__max_depth': 8, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 9}",0.8212290502793296,0.8033707865168539,0.8876404494382022,0.8202247191011236,0.8764044943820225,0.8417738999435065,0.0336579131773675,20
0.10830497741699219,0.007962066049878735,0.005800199508666992,0.0003998042681369175,1,8,,11,"{'KNN__n_neighbors': 1, 'random_forest__max_depth': 8, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 11}",0.8268156424581006,0.8146067415730337,0.8707865168539326,0.8370786516853933,0.8651685393258427,0.8428912183792606,0.021756141231926616,18
0.10950636863708496,0.009228488571517843,0.005231666564941406,0.000942147322243174,1,8,,13,"{'KNN__n_neighbors': 1, 'random_forest__max_depth': 8, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 13}",0.8268156424581006,0.8089887640449438,0.8539325842696629,0.8314606741573034,0.8595505617977528,0.8361496453455526,0.018496806974796734,42
0.1059262752532959,0.0033758572603107715,0.006199026107788086,0.0003994008246847065,1,10,,7,"{'KNN__n_neighbors': 1, 'random_forest__max_depth': 10, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 7}",0.8268156424581006,0.8033707865168539,0.8876404494382022,0.8202247191011236,0.8539325842696629,0.8383968363567886,0.02952106691021374,35
0.10318536758422851,0.00622552618355685,0.005404138565063476,0.000797856589195738,1,10,,9,"{'KNN__n_neighbors': 1, 'random_forest__max_depth': 10, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 9}",0.8212290502793296,0.8033707865168539,0.8820224719101124,0.8314606741573034,0.8764044943820225,0.8428974954491244,0.03103599805682423,15
0.11296453475952148,0.006875165644003352,0.00560150146484375,0.0004908406989114499,1,10,,11,"{'KNN__n_neighbors': 1, 'random_forest__max_depth': 10, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 11}",0.8268156424581006,0.8146067415730337,0.8707865168539326,0.8370786516853933,0.8651685393258427,0.8428912183792606,0.021756141231926616,18
0.11591448783874511,0.006378894785409945,0.006201887130737304,0.0007456172385886004,1,10,,13,"{'KNN__n_neighbors': 1, 'random_forest__max_depth': 10, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 13}",0.8212290502793296,0.8089887640449438,0.8539325842696629,0.8314606741573034,0.8595505617977528,0.8350323269097985,0.019182898040219585,50
0.11316747665405273,0.0047746793330132025,0.006803369522094727,0.0003999062309691906,3,4,,7,"{'KNN__n_neighbors': 3, 'random_forest__max_depth': 4, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 7}",0.8379888268156425,0.8089887640449438,0.8539325842696629,0.8089887640449438,0.8651685393258427,0.8350134957002071,0.022937674158755958,54
0.11388926506042481,0.005102499810890183,0.006400251388549804,0.0012001554646391107,3,4,,9,"{'KNN__n_neighbors': 3, 'random_forest__max_depth': 4, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 9}",0.8324022346368715,0.8089887640449438,0.8426966292134831,0.8089887640449438,0.8595505617977528,0.830525390747599,0.01960497244439708,64
