,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__n_neighbors,param_gbc__learning_rate,param_gbc__max_depth,param_gbc__min_samples_leaf,param_gbc__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.03532476425170898,0.0036044297335853805,0.0026016712188720705,0.0004911959350306553,5,0.01,2,5,50,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 2, 'gbc__min_samples_leaf': 5, 'gbc__n_estimators': 50}",0.7653631284916201,0.7921348314606742,0.8146067415730337,0.7808988764044944,0.7921348314606742,0.7890276818780994,0.016122565660236832,528
1,0.06064825057983399,0.0030051894668022034,0.003000307083129883,5.091227651611e-07,5,0.01,2,5,100,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 2, 'gbc__min_samples_leaf': 5, 'gbc__n_estimators': 100}",0.7653631284916201,0.8202247191011236,0.8146067415730337,0.797752808988764,0.848314606741573,0.8092524009792228,0.027325539345531568,517
2,0.12709903717041016,0.0081056255899366,0.0030373096466064452,0.000636819775554961,5,0.01,2,5,200,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 2, 'gbc__min_samples_leaf': 5, 'gbc__n_estimators': 200}",0.8379888268156425,0.8202247191011236,0.8202247191011236,0.797752808988764,0.8426966292134831,0.8237775406440273,0.01588977222310225,452
3,0.034050273895263675,0.004144330597384754,0.00279998779296875,0.00040018573771778655,5,0.01,2,10,50,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 2, 'gbc__min_samples_leaf': 10, 'gbc__n_estimators': 50}",0.7653631284916201,0.7921348314606742,0.8146067415730337,0.7808988764044944,0.7921348314606742,0.7890276818780994,0.016122565660236832,528
4,0.07106881141662598,0.00023599332394351677,0.0030411243438720702,8.161128907863477e-05,5,0.01,2,10,100,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 2, 'gbc__min_samples_leaf': 10, 'gbc__n_estimators': 100}",0.7653631284916201,0.8202247191011236,0.8146067415730337,0.797752808988764,0.848314606741573,0.8092524009792228,0.027325539345531568,517
5,0.12449660301208496,0.009321053473383996,0.003088092803955078,0.00017638209704677003,5,0.01,2,10,200,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 2, 'gbc__min_samples_leaf': 10, 'gbc__n_estimators': 200}",0.8379888268156425,0.8202247191011236,0.8202247191011236,0.797752808988764,0.8426966292134831,0.8237775406440273,0.01588977222310225,452
6,0.034558677673339845,0.003617293639192697,0.0026008129119873048,0.0004905854142296831,5,0.01,2,20,50,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 2, 'gbc__min_samples_leaf': 20, 'gbc__n_estimators': 50}",0.7597765363128491,0.7921348314606742,0.8146067415730337,0.7808988764044944,0.7921348314606742,0.7879103634423451,0.017827293932657255,533
7,0.06942582130432129,0.002369929477219894,0.003000497817993164,1.187314948843835e-06,5,0.01,2,20,100,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 2, 'gbc__min_samples_leaf': 20, 'gbc__n_estimators': 100}",0.7653631284916201,0.8202247191011236,0.8202247191011236,0.797752808988764,0.8370786516853933,0.8081288054736049,0.024768045055820927,519
8,0.13586201667785644,0.00036130847305584224,0.003199481964111328,0.0003983259308079153,5,0.01,2,20,200,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 2, 'gbc__min_samples_leaf': 20, 'gbc__n_estimators': 200}",0.8379888268156425,0.8202247191011236,0.8202247191011236,0.797752808988764,0.8539325842696629,0.8260247316552632,0.018913327116456966,428
9,0.05057802200317383,0.0006939765792280199,0.0029999732971191405,4.862803948967729e-07,5,0.01,3,5,50,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 3, 'gbc__min_samples_leaf': 5, 'gbc__n_estimators': 50}",0.7486033519553073,0.7921348314606742,0.8146067415730337,0.7808988764044944,0.797752808988764,0.7867993220764548,0.021979292561906043,537
10,0.09285869598388671,0.0007578522623646368,0.0030005455017089845,0.0006328621026935761,5,0.01,3,5,100,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 3, 'gbc__min_samples_leaf': 5, 'gbc__n_estimators': 100}",0.8324022346368715,0.8202247191011236,0.8202247191011236,0.7921348314606742,0.848314606741573,0.8226602222082731,0.018421276193602048,461
11,0.17332305908203124,0.01093279330744111,0.003946256637573242,0.0003118891722415156,5,0.01,3,5,200,"{'KNN__n_neighbors': 5, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 3, 'gbc__min_samples_leaf': 5, 'gbc__n_estimators': 200}",0.8491620111731844,0.8202247191011236,0.8202247191011236,0.7921348314606742,0.848314606741573,0.8260121775155357,0.02120366512316747,433
