,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__n_neighbors,param_logreg__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,frac_errors
0,0.009014320373535157,0.0006553261801471327,0.003653812408447266,0.00043281493648362264,1,0.1,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(0.1)}",0.8491620111731844,0.8370786516853933,0.8370786516853933,0.8314606741573034,0.8314606741573034,0.8372481325717155,0.006465095523954665,269,0.1627518674282845
1,0.008321905136108398,0.0003769665882868451,0.0038013458251953125,0.0004006715693759011,1,0.2,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(0.2)}",0.8547486033519553,0.8426966292134831,0.8258426966292135,0.8258426966292135,0.8370786516853933,0.8372418555018518,0.010919240431689493,292,0.16275814449814818
2,0.008599424362182617,0.0004894164373297617,0.003400421142578125,0.0004904869160771226,1,0.3,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(0.30000000000000004)}",0.8491620111731844,0.8426966292134831,0.8258426966292135,0.8314606741573034,0.8426966292134831,0.8383717280773336,0.008468518693101928,85,0.16162827192266638
3,0.009001827239990235,4.271886139760025e-06,0.0038013458251953125,0.00040043179347441066,1,0.4,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(0.4)}",0.8491620111731844,0.8426966292134831,0.8258426966292135,0.8258426966292135,0.848314606741573,0.8383717280773336,0.010468515399175008,85,0.16162827192266638
4,0.00839982032775879,0.0004896094095454889,0.003999853134155273,6.14361702286011e-07,1,0.5,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(0.5)}",0.8491620111731844,0.8426966292134831,0.8258426966292135,0.8202247191011236,0.8539325842696629,0.8383717280773336,0.01314203780526484,85,0.16162827192266638
5,0.008999300003051759,4.862803948967728e-07,0.003400230407714844,0.0004900573487961258,1,0.6,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(0.6)}",0.8379888268156425,0.8426966292134831,0.8258426966292135,0.8202247191011236,0.8595505617977528,0.8372606867114432,0.013765993463588937,212,0.16273931328855684
6,0.00919933319091797,0.0003996140169826281,0.003400087356567383,0.0004900768677770249,1,0.7,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(0.7000000000000001)}",0.8379888268156425,0.8370786516853933,0.8258426966292135,0.8202247191011236,0.8651685393258427,0.8372606867114432,0.015491973742856985,212,0.16273931328855684
7,0.00879964828491211,0.0003997568972683784,0.003599691390991211,0.0004896295129261533,1,0.8,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(0.8)}",0.8435754189944135,0.8370786516853933,0.8258426966292135,0.8258426966292135,0.8651685393258427,0.8395016006528152,0.014521637212628287,23,0.1604983993471848
8,0.008799982070922852,0.00039980492215573043,0.004048824310302734,9.739671806052716e-05,1,0.9,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(0.9)}",0.8435754189944135,0.8314606741573034,0.8258426966292135,0.8258426966292135,0.8651685393258427,0.8383780051471973,0.01487859683963661,62,0.1616219948528027
9,0.008399868011474609,0.0010198235327146055,0.003200387954711914,0.0003996622410917165,1,1.0,"{'KNN__n_neighbors': np.int64(1), 'logreg__C': np.float64(1.0)}",0.8435754189944135,0.8314606741573034,0.8202247191011236,0.8146067415730337,0.8651685393258427,0.8350072186303434,0.018057680126594658,443,0.16499278136965656
