,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__n_neighbors,param_gbc__learning_rate,param_gbc__max_depth,param_gbc__min_samples_leaf,param_gbc__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.20464153289794923,0.014926777637727482,0.004005718231201172,0.0005537892898045386,15,0.01,4,30,200,"{'KNN__n_neighbors': 15, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 4, 'gbc__min_samples_leaf': 30, 'gbc__n_estimators': 200}",0.8212290502793296,0.8314606741573034,0.8370786516853933,0.8089887640449438,0.8539325842696629,0.8305379448873266,0.015112671109727905,96
1,0.29743280410766604,0.011628919205478778,0.004909658432006836,0.0008606319935566717,15,0.01,4,30,300,"{'KNN__n_neighbors': 15, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 4, 'gbc__min_samples_leaf': 30, 'gbc__n_estimators': 300}",0.8379888268156425,0.8426966292134831,0.848314606741573,0.8426966292134831,0.8595505617977528,0.8462494507563869,0.007411712540293758,77
2,0.3814877986907959,0.01374861037015894,0.004819726943969727,0.00041191159431308783,15,0.01,4,30,400,"{'KNN__n_neighbors': 15, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 4, 'gbc__min_samples_leaf': 30, 'gbc__n_estimators': 400}",0.8268156424581006,0.8370786516853933,0.8595505617977528,0.8539325842696629,0.8651685393258427,0.8485091959073504,0.014353579537209851,61
3,0.4655766487121582,0.0033355275723409928,0.00550236701965332,0.00038679802304212826,15,0.01,4,30,500,"{'KNN__n_neighbors': 15, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 4, 'gbc__min_samples_leaf': 30, 'gbc__n_estimators': 500}",0.8379888268156425,0.8258426966292135,0.8651685393258427,0.848314606741573,0.8651685393258427,0.8484966417676227,0.015359380707133906,64
4,0.5392748355865479,0.014013835622293613,0.005493593215942383,0.000548961424536442,15,0.01,4,30,600,"{'KNN__n_neighbors': 15, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 4, 'gbc__min_samples_leaf': 30, 'gbc__n_estimators': 600}",0.8435754189944135,0.8370786516853933,0.8707865168539326,0.8539325842696629,0.8539325842696629,0.851861151214613,0.011436142576422163,45
5,0.20378565788269043,0.0079653420241622,0.004923009872436523,0.00039123323889294357,15,0.01,4,35,200,"{'KNN__n_neighbors': 15, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 4, 'gbc__min_samples_leaf': 35, 'gbc__n_estimators': 200}",0.8268156424581006,0.848314606741573,0.8595505617977528,0.8202247191011236,0.848314606741573,0.8406440273680247,0.014719408950838047,91
6,0.2908437252044678,0.014782647560270538,0.005120182037353515,0.00046966680018585273,15,0.01,4,35,300,"{'KNN__n_neighbors': 15, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 4, 'gbc__min_samples_leaf': 35, 'gbc__n_estimators': 300}",0.8379888268156425,0.848314606741573,0.8595505617977528,0.848314606741573,0.848314606741573,0.8484966417676227,0.006822063226762085,64
7,0.36217489242553713,0.009397984092484383,0.005078172683715821,0.0004400269366128759,15,0.01,4,35,400,"{'KNN__n_neighbors': 15, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 4, 'gbc__min_samples_leaf': 35, 'gbc__n_estimators': 400}",0.8435754189944135,0.8426966292134831,0.8651685393258427,0.8707865168539326,0.8595505617977528,0.856355533237085,0.011366860174695485,14
8,0.4502865791320801,0.013298618599767068,0.005476760864257813,0.0006659030726508259,15,0.01,4,35,500,"{'KNN__n_neighbors': 15, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 4, 'gbc__min_samples_leaf': 35, 'gbc__n_estimators': 500}",0.8379888268156425,0.8426966292134831,0.8651685393258427,0.8539325842696629,0.8651685393258427,0.8529910237900948,0.011211697276886198,34
9,0.5298252105712891,0.010880427502970948,0.00551295280456543,0.0003158295560226946,15,0.01,4,35,600,"{'KNN__n_neighbors': 15, 'gbc__learning_rate': 0.01, 'gbc__max_depth': 4, 'gbc__min_samples_leaf': 35, 'gbc__n_estimators': 600}",0.8435754189944135,0.8370786516853933,0.8651685393258427,0.8595505617977528,0.8651685393258427,0.854108342225849,0.01162089932279969,27
