,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__n_neighbors,param_random_forest__max_depth,param_random_forest__max_features,param_random_forest__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.089808988571167,0.00677982270991614,0.006820011138916016,0.00041211646647045414,5,4,sqrt,1,"{'KNN__n_neighbors': 5, 'random_forest__max_depth': 4, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 1}",0.8100558659217877,0.8426966292134831,0.8426966292134831,0.8089887640449438,0.8595505617977528,0.8327976900382901,0.019978737007474573,548
1,0.09826188087463379,0.0049357488076765925,0.006400203704833985,0.0004894160424355829,5,4,sqrt,3,"{'KNN__n_neighbors': 5, 'random_forest__max_depth': 4, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 3}",0.8379888268156425,0.8426966292134831,0.8426966292134831,0.8089887640449438,0.8539325842696629,0.8372606867114432,0.015079011302035724,384
2,0.09230961799621581,0.006846091492263742,0.006300544738769532,0.001078470461524495,5,4,sqrt,5,"{'KNN__n_neighbors': 5, 'random_forest__max_depth': 4, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 5}",0.8268156424581006,0.8370786516853933,0.8426966292134831,0.8033707865168539,0.8595505617977528,0.8339024543343168,0.018588473848915547,508
3,0.09246339797973632,0.008594175152790578,0.006599330902099609,0.0007999658922116924,5,4,sqrt,7,"{'KNN__n_neighbors': 5, 'random_forest__max_depth': 4, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 7}",0.8156424581005587,0.8370786516853933,0.8426966292134831,0.8033707865168539,0.8539325842696629,0.8305442219571905,0.018427443801699965,639
4,0.09339895248413085,0.009217345828404298,0.0065996646881103516,0.0004896873154151949,5,4,sqrt,9,"{'KNN__n_neighbors': 5, 'random_forest__max_depth': 4, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 9}",0.8044692737430168,0.8370786516853933,0.8426966292134831,0.8033707865168539,0.848314606741573,0.827185989580064,0.019329129540094168,685
5,0.0858351707458496,0.0065485170276689715,0.006904029846191406,0.0014915732362452414,5,4,sqrt,11,"{'KNN__n_neighbors': 5, 'random_forest__max_depth': 4, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 11}",0.8491620111731844,0.8426966292134831,0.8370786516853933,0.8033707865168539,0.848314606741573,0.8361245370660976,0.01694393363259231,444
6,0.09612274169921875,0.00684698001904687,0.007399225234985351,0.0008000017042908475,5,4,sqrt,13,"{'KNN__n_neighbors': 5, 'random_forest__max_depth': 4, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 13}",0.8491620111731844,0.8426966292134831,0.8370786516853933,0.8033707865168539,0.8426966292134831,0.8350009415604795,0.01627124271177847,503
7,0.09749422073364258,0.004198600926340074,0.007200384140014648,0.0007480382155612131,5,4,sqrt,15,"{'KNN__n_neighbors': 5, 'random_forest__max_depth': 4, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 15}",0.8435754189944135,0.8426966292134831,0.8370786516853933,0.8033707865168539,0.8426966292134831,0.8338836231247253,0.015430557120096538,538
8,0.08993926048278808,0.009768485653555202,0.0064258575439453125,0.0007559095999091427,5,4,sqrt,17,"{'KNN__n_neighbors': 5, 'random_forest__max_depth': 4, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 17}",0.8212290502793296,0.8426966292134831,0.8370786516853933,0.8033707865168539,0.8426966292134831,0.8294143493817085,0.015210823337034976,673
9,0.09449181556701661,0.005123713317561243,0.006401872634887696,0.0008012263936425762,5,4,sqrt,19,"{'KNN__n_neighbors': 5, 'random_forest__max_depth': 4, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 19}",0.8100558659217877,0.8370786516853933,0.8370786516853933,0.797752808988764,0.8314606741573034,0.8226853304877283,0.01595290600634332,716
10,0.12334814071655273,0.003456792052752497,0.006407690048217773,0.0008062016626570626,5,4,,1,"{'KNN__n_neighbors': 5, 'random_forest__max_depth': 4, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 1}",0.8435754189944135,0.8258426966292135,0.8539325842696629,0.8146067415730337,0.8426966292134831,0.8361308141359614,0.014032577457834861,429
11,0.11783714294433593,0.011884551032742776,0.006812000274658203,0.000749877101659861,5,4,,3,"{'KNN__n_neighbors': 5, 'random_forest__max_depth': 4, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 3}",0.8491620111731844,0.8258426966292135,0.8539325842696629,0.8146067415730337,0.8539325842696629,0.8394953235829515,0.016224361796025284,306
12,0.11022014617919922,0.010467247403077598,0.0068015575408935545,0.0011680977720813835,5,4,,5,"{'KNN__n_neighbors': 5, 'random_forest__max_depth': 4, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 5}",0.8491620111731844,0.8258426966292135,0.8595505617977528,0.8146067415730337,0.8539325842696629,0.8406189190885694,0.017341368618749582,272
13,0.12368950843811036,0.002037953658237604,0.007199573516845703,0.00040016177157428304,5,4,,7,"{'KNN__n_neighbors': 5, 'random_forest__max_depth': 4, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 7}",0.8491620111731844,0.8258426966292135,0.8595505617977528,0.8202247191011236,0.848314606741573,0.8406189190885694,0.014999168442172302,272
14,0.1068112850189209,0.004904125183198778,0.006045770645141601,0.0008988796978311662,5,4,,9,"{'KNN__n_neighbors': 5, 'random_forest__max_depth': 4, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 9}",0.8491620111731844,0.8202247191011236,0.8539325842696629,0.8258426966292135,0.8539325842696629,0.8406189190885694,0.014572247093506487,272
15,0.11178174018859863,0.006343285887305184,0.006792020797729492,0.0007365161884846653,5,4,,11,"{'KNN__n_neighbors': 5, 'random_forest__max_depth': 4, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 11}",0.8547486033519553,0.8258426966292135,0.8539325842696629,0.8314606741573034,0.8651685393258427,0.8462306195467955,0.014995598033801322,141
16,0.11582531929016113,0.006049126837811204,0.006822776794433594,0.0009784926375585156,5,4,,13,"{'KNN__n_neighbors': 5, 'random_forest__max_depth': 4, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 13}",0.8435754189944135,0.8202247191011236,0.8595505617977528,0.8426966292134831,0.848314606741573,0.8428723871696692,0.012815781492694467,229
17,0.11624956130981445,0.00734937636726947,0.006400966644287109,0.001200635519626671,5,4,,15,"{'KNN__n_neighbors': 5, 'random_forest__max_depth': 4, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 15}",0.8379888268156425,0.8146067415730337,0.8595505617977528,0.8258426966292135,0.8539325842696629,0.8383842822170612,0.0168082139510249,342
